CBSA,CITY,LATITUDE,LONGITUDE,STCOU,NAME,CENSUS2010POP,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019
31080,Los Angeles,34.1139,-118.4068,6037,"Los Angeles County, CA",9818605,31738,132632,129152,130663,129430,128538,123692,120191,113565,112963,13803,58179,57987,60092,58113,60655,63169,63000,66038,68164
41740,San Diego,32.8312,-117.1225,6073,"San Diego County, CA",3095313,10719,44687,43829,43744,44247,44443,43367,42299,40673,40603,4681,19666,19880,20731,19874,20552,21037,21535,22670,23052
31080,Mission Viejo,33.6095,-117.655,6059,"Orange County, CA",3010232,9302,38241,37844,37621,37892,38567,37862,37737,36744,36406,4310,17670,17812,18770,18406,18974,19609,19820,21049,21518
40140,Riverside,33.9381,-117.3948,6065,"Riverside County, CA",2189641,7215,31005,30103,29938,30347,30532,30587,30246,29564,29482,3374,14458,14587,14990,14968,15762,16183,16410,17961,18148
40140,Victorville,34.5277,-117.3536,6071,"San Bernardino County, CA",2035210,7465,31437,30167,30560,30679,31278,30856,30362,29527,29341,3058,12200,12083,12707,12891,13266,13868,14198,15284,15223
41940,San Jose,37.3019,-121.8486,6085,"Santa Clara County, CA",1781642,5868,24027,23420,24177,23416,23693,23219,22639,21826,21713,2168,9158,9308,9437,9434,9894,10108,10225,10727,11258
41860,Oakland,37.7903,-122.2165,6001,"Alameda County, CA",1510271,4879,19220,18979,19469,19496,19489,19503,19594,18497,18628,2153,9076,9207,9620,9248,9602,9569,9974,10330,10944
40900,Sacramento,38.5667,-121.4683,6067,"Sacramento County, CA",1418788,5027,20193,19534,19409,19651,19776,19505,19407,19350,19192,2491,10209,10480,10438,10743,11119,11239,11607,12518,12368
41860,Concord,37.9722,-122.0016,6013,"Contra Costa County, CA",1049025,3015,12335,11940,12243,12245,12571,12475,12288,12232,12070,1739,7263,6985,7247,7228,7562,7794,7846,8186,8478
23420,Fresno,36.7831,-119.7941,6019,"Fresno County, CA",930450,3898,16320,15944,15729,15854,15652,15250,14759,14696,14506,1591,5996,6267,6522,6322,6601,6567,7060,7460,7467
12540,Bakersfield,35.3529,-119.0359,6029,"Kern County, CA",839631,3486,14409,14208,14417,14091,14082,13750,13625,13170,13144,1368,5401,5235,5654,5640,5916,5817,6101,6508,6478
37100,Oxnard,34.1963,-119.1815,6111,"Ventura County, CA",823318,2767,11008,10529,10533,10330,10313,9834,9558,9233,9161,1266,5082,5008,5361,5337,5625,5632,5782,6161,6241
41860,San Francisco,37.7562,-122.443,6075,"San Francisco County, CA",805235,2118,8899,8781,9096,8948,9107,9014,8998,8846,8868,1277,5762,5538,5760,5472,5647,5699,5751,6124,6359
41860,Daly City,37.6862,-122.4685,6081,"San Mateo County, CA",718451,2289,9144,9013,9070,8949,9168,9002,8753,8503,8425,1116,4551,4660,4712,4518,4771,4660,4856,4984,5187
44700,Stockton,37.9765,-121.3109,6077,"San Joaquin County, CA",685306,2548,10550,10082,10050,9922,9979,10120,10171,9993,9975,1099,4757,4981,4985,5116,5379,5374,5587,5890,5838
33700,Modesto,37.6374,-121.0028,6099,"Stanislaus County, CA",514453,1920,7785,7696,7508,7496,7672,7782,7755,7413,7393,909,3671,3812,3852,3929,4117,4277,4388,4499,4317
42220,Santa Rosa,38.4458,-122.7067,6097,"Sonoma County, CA",483878,1420,5309,5046,5068,4998,5065,4992,4935,4539,4509,954,3870,3854,3914,3999,4032,4117,4285,4240,4379
47300,Visalia,36.3276,-119.3269,6107,"Tulare County, CA",442179,1856,8152,8025,7765,7581,7508,7286,7207,7050,7032,648,2849,2810,2831,2831,2981,3048,3025,3245,3209
42200,Santa Barbara,34.4285,-119.7202,6083,"Santa Barbara County, CA",423895,1510,5748,5640,5703,5760,5810,5586,5522,5431,5390,760,2864,2860,2984,2977,3008,3122,3233,3281,3288
41500,Salinas,36.6884,-121.6317,6053,"Monterey County, CA",415057,1675,6862,6811,6564,6458,6455,6326,6046,5885,5797,517,2326,2379,2461,2373,2488,2610,2558,2729,2742
46700,Vallejo,38.1133,-122.2358,6095,"Solano County, CA",413344,1188,5175,5069,5142,5254,5283,5195,5195,5093,5088,643,2872,2920,2961,3034,3178,3224,3376,3682,3711
40900,Roseville,38.7703,-121.3196,6061,"Placer County, CA",348432,951,3853,3693,3693,3725,3653,3740,3765,3666,3721,711,2788,2760,2837,2934,3077,3214,3310,3396,3480
42020,El Paso de Robles,35.6394,-120.656,6079,"San Luis Obispo County, CA",269637,704,2644,2627,2629,2633,2601,2627,2584,2519,2488,519,2256,2270,2259,2244,2310,2358,2519,2498,2465
42100,Santa Cruz,36.9789,-122.0346,6087,"Santa Cruz County, CA",262382,812,3243,3162,2984,2892,2981,2825,2738,2571,2540,442,1700,1672,1728,1732,1721,1727,1783,1776,1885
32900,Merced,37.3057,-120.4778,6047,"Merced County, CA",255793,1066,4301,4302,4192,4210,4103,4109,4288,3961,4086,432,1454,1559,1614,1611,1676,1792,1831,1799,1787
41860,San Rafael,37.9905,-122.5222,6041,"Marin County, CA",252409,589,2385,2326,2323,2431,2302,2275,2248,2193,2149,475,1830,1877,1890,1876,1959,1903,1959,1986,1998
17020,Chico,39.7575,-121.8152,6007,"Butte County, CA",220000,622,2443,2403,2321,2503,2475,2464,2443,2431,2422,516,2179,2247,2304,2170,2330,2403,2501,2568,2527
40900,Davis,38.5552,-121.7365,6113,"Yolo County, CA",200849,565,2425,2321,2505,2473,2408,2414,2298,2253,2215,223,1226,1172,1282,1178,1299,1281,1365,1382,1386
40900,El Dorado Hills,38.675,-121.049,6017,"El Dorado County, CA",181058,382,1633,1599,1495,1609,1610,1599,1596,1616,1624,296,1310,1424,1327,1397,1559,1557,1577,1575,1699
39820,Redding,40.5698,-122.365,6089,"Shasta County, CA",177223,533,2105,2059,2108,2142,2097,2061,1979,2032,1977,466,2049,2008,2072,2160,2281,2213,2400,2376,2297
20940,El Centro,32.7867,-115.5586,6025,"Imperial County, CA",174528,688,3130,3016,3016,3167,3292,3115,2981,2761,2728,181,977,955,969,1021,1033,1126,1022,1121,1079
25260,Hanford,36.3274,-119.6549,6031,"Kings County, CA",152982,570,2576,2397,2464,2301,2359,2262,2303,2327,2321,215,754,816,804,814,801,789,840,889,887
31460,Madera,36.9631,-120.0782,6039,"Madera County, CA",150865,574,2441,2379,2291,2262,2296,2291,2179,2178,2108,325,1009,1051,1048,1044,1051,1085,1127,1071,1060
34900,Napa,38.2976,-122.3011,6055,"Napa County, CA",136484,389,1503,1531,1414,1481,1467,1430,1327,1285,1235,320,1160,1128,1245,1166,1221,1226,1299,1234,1279
21700,Eureka,40.7942,-124.1568,6023,"Humboldt County, CA",134623,384,1548,1439,1539,1484,1444,1469,1479,1364,1352,287,1187,1288,1293,1349,1294,1320,1390,1374,1390
46020,Grass Valley,39.2237,-121.0521,6057,"Nevada County, CA",98764,217,769,772,802,860,829,830,776,795,778,190,945,953,1008,965,1024,985,1047,1015,986
49700,Yuba City,39.1357,-121.6381,6101,"Sutter County, CA",94737,324,1335,1322,1228,1295,1307,1334,1340,1280,1267,220,732,728,735,734,796,820,864,843,834
46380,Ukiah,39.1463,-123.2105,6045,"Mendocino County, CA",87841,305,1014,1122,1061,1057,1022,1040,1006,961,933,178,838,811,850,847,855,902,837,858,860
49700,Linda,39.1241,-121.5421,6115,"Yuba County, CA",72155,284,1253,1220,1232,1199,1198,1198,1196,1158,1149,95,558,537,590,584,596,622,678,671,583
17340,Lakeport,39.0392,-122.9218,6033,"Lake County, CA",64665,162,742,728,740,769,711,737,767,737,731,167,799,855,829,828,843,861,932,831,848
39780,Red Bluff,40.1735,-122.2413,6103,"Tehama County, CA",63463,179,733,722,727,809,815,809,760,748,739,165,618,604,689,634,612,621,622,636,661
43760,Sonora,37.9819,-120.3828,6109,"Tuolumne County, CA",55365,130,444,462,459,462,471,464,454,471,466,119,609,624,601,679,637,685,714,645,621
41940,Hollister,36.8563,-121.3981,6069,"San Benito County, CA",55269,190,762,716,741,726,719,748,767,750,774,34,269,277,325,313,296,336,375,321,324
45000,Susanville,40.4205,-120.6129,6035,"Lassen County, CA",34895,84,301,305,283,319,301,301,313,286,281,92,199,270,225,228,229,263,233,195,202
18860,Crescent City,41.7727,-124.1902,6015,"Del Norte County, CA",28610,89,334,324,333,311,300,305,288,265,261,93,297,283,275,273,291,306,329,262,255
